task,rel_path,result,refinements,wall_s,log
BrockschmidtCookFuhs-CAV2013-Fig9a,BrockschmidtCookFuhs-CAV2013-Fig9a.c,TRUE,0,4.626,output/vguide/experiments/termination_scalar_300_vguide/logs/BrockschmidtCookFuhs-CAV2013-Fig9a.log
CookSeeZuleger-TACAS2013-Fig7a,CookSeeZuleger-TACAS2013-Fig7a.c,TRUE,0,1.587,output/vguide/experiments/termination_scalar_300_vguide/logs/CookSeeZuleger-TACAS2013-Fig7a.log
CookSeeZuleger-TACAS2013-Fig8a-modified,CookSeeZuleger-TACAS2013-Fig8a-modified.c,TRUE,0,1.256,output/vguide/experiments/termination_scalar_300_vguide/logs/CookSeeZuleger-TACAS2013-Fig8a-modified.log
CookSeeZuleger-TACAS2013-Fig7b,CookSeeZuleger-TACAS2013-Fig7b.c,TRUE,0,1.661,output/vguide/experiments/termination_scalar_300_vguide/logs/CookSeeZuleger-TACAS2013-Fig7b.log
CookSeeZuleger-TACAS2013-Fig8a,CookSeeZuleger-TACAS2013-Fig8a.c,TRUE,0,1.128,output/vguide/experiments/termination_scalar_300_vguide/logs/CookSeeZuleger-TACAS2013-Fig8a.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig1,HeizmannHoenickeLeikePodelski-ATVA2013-Fig1.c,TRUE,0,0.928,output/vguide/experiments/termination_scalar_300_vguide/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1.log
HarrisLalNoriRajamani-SAS2010-Fig3,HarrisLalNoriRajamani-SAS2010-Fig3.c,TRUE,0,0.959,output/vguide/experiments/termination_scalar_300_vguide/logs/HarrisLalNoriRajamani-SAS2010-Fig3.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig4,HeizmannHoenickeLeikePodelski-ATVA2013-Fig4.c,TRUE,0,0.952,output/vguide/experiments/termination_scalar_300_vguide/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4.log
CookSeeZuleger-TACAS2013-Fig8b,CookSeeZuleger-TACAS2013-Fig8b.c,UNKNOWN,0,3.484,output/vguide/experiments/termination_scalar_300_vguide/logs/CookSeeZuleger-TACAS2013-Fig8b.log
HarrisLalNoriRajamani-SAS2010-Fig1,HarrisLalNoriRajamani-SAS2010-Fig1.c,TRUE,0,2.477,output/vguide/experiments/termination_scalar_300_vguide/logs/HarrisLalNoriRajamani-SAS2010-Fig1.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig6,HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.c,TRUE,0,1.099,output/vguide/experiments/termination_scalar_300_vguide/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.log
HenzingerJhalaMajumdarSutre-POPL2002-LockingExample,HenzingerJhalaMajumdarSutre-POPL2002-LockingExample.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/HenzingerJhalaMajumdarSutre-POPL2002-LockingExample.log
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex,KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.c,TRUE,0,0.954,output/vguide/experiments/termination_scalar_300_vguide/logs/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5,HeizmannHoenickeLeikePodelski-ATVA2013-Fig5.c,UNKNOWN,0,3.836,output/vguide/experiments/termination_scalar_300_vguide/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5.log
LeeJonesBen-Amram-POPL2001-Ex4,LeeJonesBen-Amram-POPL2001-Ex4.c,UNKNOWN,0,0.666,output/vguide/experiments/termination_scalar_300_vguide/logs/LeeJonesBen-Amram-POPL2001-Ex4.log
LeeJonesBen-Amram-POPL2001-Ex5,LeeJonesBen-Amram-POPL2001-Ex5.c,UNKNOWN,0,0.785,output/vguide/experiments/termination_scalar_300_vguide/logs/LeeJonesBen-Amram-POPL2001-Ex5.log
LeikeHeizmann-TACAS2014-Ex1,LeikeHeizmann-TACAS2014-Ex1.c,TRUE,0,1.085,output/vguide/experiments/termination_scalar_300_vguide/logs/LeikeHeizmann-TACAS2014-Ex1.log
KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1,KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1.c,UNKNOWN,0,3.110,output/vguide/experiments/termination_scalar_300_vguide/logs/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1.log
LeikeHeizmann-TACAS2014-Ex9,LeikeHeizmann-TACAS2014-Ex9.c,TRUE,0,1.016,output/vguide/experiments/termination_scalar_300_vguide/logs/LeikeHeizmann-TACAS2014-Ex9.log
PodelskiRybalchenko-LICS2004-Fig1,PodelskiRybalchenko-LICS2004-Fig1.c,TRUE,0,1.300,output/vguide/experiments/termination_scalar_300_vguide/logs/PodelskiRybalchenko-LICS2004-Fig1.log
PodelskiRybalchenko-TACAS2011-Fig1,PodelskiRybalchenko-TACAS2011-Fig1.c,TRUE,0,0.971,output/vguide/experiments/termination_scalar_300_vguide/logs/PodelskiRybalchenko-TACAS2011-Fig1.log
PodelskiRybalchenko-TACAS2011-Fig2,PodelskiRybalchenko-TACAS2011-Fig2.c,TRUE,0,1.133,output/vguide/experiments/termination_scalar_300_vguide/logs/PodelskiRybalchenko-TACAS2011-Fig2.log
PodelskiRybalchenko-TACAS2011-Fig4,PodelskiRybalchenko-TACAS2011-Fig4.c,TRUE,0,1.179,output/vguide/experiments/termination_scalar_300_vguide/logs/PodelskiRybalchenko-TACAS2011-Fig4.log
LeikeHeizmann-WST2014-Ex9,LeikeHeizmann-WST2014-Ex9.c,TRUE,0,3.904,output/vguide/experiments/termination_scalar_300_vguide/logs/LeikeHeizmann-WST2014-Ex9.log
Urban-WST2013-Fig1,Urban-WST2013-Fig1.c,FALSE,0,0.737,output/vguide/experiments/termination_scalar_300_vguide/logs/Urban-WST2013-Fig1.log
Urban-WST2013-Fig2,Urban-WST2013-Fig2.c,TRUE,0,1.408,output/vguide/experiments/termination_scalar_300_vguide/logs/Urban-WST2013-Fig2.log
UrbanMine-ESOP2014-Fig3,UrbanMine-ESOP2014-Fig3.c,TRUE,0,1.416,output/vguide/experiments/termination_scalar_300_vguide/logs/UrbanMine-ESOP2014-Fig3.log
Velroyen,Velroyen.c,FALSE,0,0.742,output/vguide/experiments/termination_scalar_300_vguide/logs/Velroyen.log
cstrcmp,cstrcmp.c,UNKNOWN,0,0.907,output/vguide/experiments/termination_scalar_300_vguide/logs/cstrcmp.log
aviad,aviad.c,TRUE,0,2.050,output/vguide/experiments/termination_scalar_300_vguide/logs/aviad.log
cstrlen,cstrlen.c,UNKNOWN,0,1.024,output/vguide/experiments/termination_scalar_300_vguide/logs/cstrlen.log
cstrcspn,cstrcspn.c,UNKNOWN,0,1.464,output/vguide/experiments/termination_scalar_300_vguide/logs/cstrcspn.log
cstrpbrk,cstrpbrk.c,UNKNOWN,0,1.560,output/vguide/experiments/termination_scalar_300_vguide/logs/cstrpbrk.log
cstrspn,cstrspn.c,UNKNOWN,0,1.502,output/vguide/experiments/termination_scalar_300_vguide/logs/cstrspn.log
genady,genady.c,TRUE,0,0.943,output/vguide/experiments/termination_scalar_300_vguide/logs/genady.log
strchr-2,strchr-2.c,UNKNOWN,0,1.049,output/vguide/experiments/termination_scalar_300_vguide/logs/strchr-2.log
2Nested-1,2Nested-1.c,TRUE,0,1.460,output/vguide/experiments/termination_scalar_300_vguide/logs/2Nested-1.log
4BitCounterPointer,4BitCounterPointer.c,UNKNOWN,0,1.658,output/vguide/experiments/termination_scalar_300_vguide/logs/4BitCounterPointer.log
