task,rel_path,result,refinements,wall_s,log
CookSeeZuleger-TACAS2013-Fig1,CookSeeZuleger-TACAS2013-Fig1.c,TRUE,0,1.263,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig1.log
CookSeeZuleger-TACAS2013-Fig7a,CookSeeZuleger-TACAS2013-Fig7a.c,TRUE,0,1.481,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig7a.log
CookSeeZuleger-TACAS2013-Fig8a-modified,CookSeeZuleger-TACAS2013-Fig8a-modified.c,TRUE,0,1.132,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig8a-modified.log
CookSeeZuleger-TACAS2013-Fig7b,CookSeeZuleger-TACAS2013-Fig7b.c,TRUE,0,1.565,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig7b.log
CookSeeZuleger-TACAS2013-Fig8a,CookSeeZuleger-TACAS2013-Fig8a.c,TRUE,0,1.116,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig8a.log
CookSeeZuleger-TACAS2013-Fig8b,CookSeeZuleger-TACAS2013-Fig8b.c,UNKNOWN,0,1.019,output/vguide/experiments/termination_scalar_300_stock/logs/CookSeeZuleger-TACAS2013-Fig8b.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig1,HeizmannHoenickeLeikePodelski-ATVA2013-Fig1.c,TRUE,0,0.905,output/vguide/experiments/termination_scalar_300_stock/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1.log
HarrisLalNoriRajamani-SAS2010-Fig3,HarrisLalNoriRajamani-SAS2010-Fig3.c,TRUE,0,1.019,output/vguide/experiments/termination_scalar_300_stock/logs/HarrisLalNoriRajamani-SAS2010-Fig3.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig4,HeizmannHoenickeLeikePodelski-ATVA2013-Fig4.c,TRUE,0,1.043,output/vguide/experiments/termination_scalar_300_stock/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4.log
HarrisLalNoriRajamani-SAS2010-Fig1,HarrisLalNoriRajamani-SAS2010-Fig1.c,TRUE,0,2.287,output/vguide/experiments/termination_scalar_300_stock/logs/HarrisLalNoriRajamani-SAS2010-Fig1.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig6,HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.c,TRUE,0,0.968,output/vguide/experiments/termination_scalar_300_stock/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.log
HenzingerJhalaMajumdarSutre-POPL2002-LockingExample,HenzingerJhalaMajumdarSutre-POPL2002-LockingExample.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/HenzingerJhalaMajumdarSutre-POPL2002-LockingExample.log
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5,HeizmannHoenickeLeikePodelski-ATVA2013-Fig5.c,UNKNOWN,0,2.028,output/vguide/experiments/termination_scalar_300_stock/logs/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5.log
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex,KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.c,TRUE,0,0.993,output/vguide/experiments/termination_scalar_300_stock/logs/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.log
LeeJonesBen-Amram-POPL2001-Ex4,LeeJonesBen-Amram-POPL2001-Ex4.c,UNKNOWN,0,0.761,output/vguide/experiments/termination_scalar_300_stock/logs/LeeJonesBen-Amram-POPL2001-Ex4.log
LeeJonesBen-Amram-POPL2001-Ex5,LeeJonesBen-Amram-POPL2001-Ex5.c,UNKNOWN,0,0.621,output/vguide/experiments/termination_scalar_300_stock/logs/LeeJonesBen-Amram-POPL2001-Ex5.log
LeikeHeizmann-TACAS2014-Ex1,LeikeHeizmann-TACAS2014-Ex1.c,TRUE,0,1.023,output/vguide/experiments/termination_scalar_300_stock/logs/LeikeHeizmann-TACAS2014-Ex1.log
KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1,KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1.c,UNKNOWN,0,3.408,output/vguide/experiments/termination_scalar_300_stock/logs/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1.log
LeikeHeizmann-TACAS2014-Ex9,LeikeHeizmann-TACAS2014-Ex9.c,TRUE,0,1.186,output/vguide/experiments/termination_scalar_300_stock/logs/LeikeHeizmann-TACAS2014-Ex9.log
PodelskiRybalchenko-TACAS2011-Fig1,PodelskiRybalchenko-TACAS2011-Fig1.c,TRUE,0,1.056,output/vguide/experiments/termination_scalar_300_stock/logs/PodelskiRybalchenko-TACAS2011-Fig1.log
PodelskiRybalchenko-LICS2004-Fig1,PodelskiRybalchenko-LICS2004-Fig1.c,TRUE,0,1.124,output/vguide/experiments/termination_scalar_300_stock/logs/PodelskiRybalchenko-LICS2004-Fig1.log
LeikeHeizmann-WST2014-Ex9,LeikeHeizmann-WST2014-Ex9.c,UNKNOWN,0,2.668,output/vguide/experiments/termination_scalar_300_stock/logs/LeikeHeizmann-WST2014-Ex9.log
PodelskiRybalchenko-TACAS2011-Fig2,PodelskiRybalchenko-TACAS2011-Fig2.c,TRUE,0,0.956,output/vguide/experiments/termination_scalar_300_stock/logs/PodelskiRybalchenko-TACAS2011-Fig2.log
PodelskiRybalchenko-TACAS2011-Fig4,PodelskiRybalchenko-TACAS2011-Fig4.c,TRUE,0,1.275,output/vguide/experiments/termination_scalar_300_stock/logs/PodelskiRybalchenko-TACAS2011-Fig4.log
Urban-WST2013-Fig1,Urban-WST2013-Fig1.c,FALSE,0,0.751,output/vguide/experiments/termination_scalar_300_stock/logs/Urban-WST2013-Fig1.log
Urban-WST2013-Fig2,Urban-WST2013-Fig2.c,TRUE,0,1.467,output/vguide/experiments/termination_scalar_300_stock/logs/Urban-WST2013-Fig2.log
UrbanMine-ESOP2014-Fig3,UrbanMine-ESOP2014-Fig3.c,TRUE,0,1.561,output/vguide/experiments/termination_scalar_300_stock/logs/UrbanMine-ESOP2014-Fig3.log
Velroyen,Velroyen.c,FALSE,0,0.767,output/vguide/experiments/termination_scalar_300_stock/logs/Velroyen.log
cstrcmp,cstrcmp.c,UNKNOWN,0,1.082,output/vguide/experiments/termination_scalar_300_stock/logs/cstrcmp.log
aviad,aviad.c,TRUE,0,1.689,output/vguide/experiments/termination_scalar_300_stock/logs/aviad.log
cstrlen,cstrlen.c,UNKNOWN,0,0.955,output/vguide/experiments/termination_scalar_300_stock/logs/cstrlen.log
